I tê	You're small
Tin, Isua Pathian biak inah, Solomona hulhliapah a vei a vei a.	And Jesus was walking in the Temple, in Solomon's covered way.
Chuta tang chuan an kal leh a, Zered ruamah awmhmun an khuar a.	And moving on from there, they put up their tents in the valley of Zered.
Tin, Zebuluna thlahte hnam zinga puipa Parnaka fapa Elizaphana,	And of the tribe of the children of Zebulun, a chief, Elizaphan, the son of Parnach.
Remeth te, Enganim te, En-hada te, Beth-pazez te thlengin a ni;	And Remeth and En-gannim and En-haddah and Beth-pazzez;
Tin, tlêmte chu i la ang a, i kawrfual hmawrah i bawk tûr a ni.	And take from them a small number of hairs, folding them in your skirts.
Tin, Philistia ralvengtu sipaiho chu Mikmas kawnah an kal ta a.	And the armed force of the Philistines went out to the narrow way of Michmash.
Suamhmang an khenbeh vete pawh chuan chutiang bawkin an tiel a.	And the thieves who were on the crosses said evil words to him.
Tin, an thu chuan Hamora leh Hamora fapa Sekema chu a tilâwm a.	And their words were pleasing to Hamor and his son Shechem.
Heng hi an hming a ni; Reubena hnam zinga mi Zakura fapa Samua.	And these were their names: of the tribe of Reuben, Shammua, the son of Zaccur.
tin, Uzian Zerahia a hring a, tin, Zerahian Meraotha a hring a;	And Uzzi was the father of Zerahiah, and Zerahiah was the father of Meraioth;
Tin, Kapernaum khuaa a luhin a hnenah sipai za hotu a lo kal a,	And when Jesus was come into Capernaum, a certain captain came to him with a request,
Tu ruang pawh a dektu apang chu ni sarih an thianghlim lo vang.	Anyone touching a dead body will be unclean for seven days:
Ram hla taka chanchin chu Mi tuihal tak tana tui vawt ang a ni.	As cold water to a tired soul, so is good news from a far country.
Ka tan țihbaiawm ni suh ang che, Mangan nia ka inhumhimna i ni.	Be not a cause of fear to me: you are my safe place in the day of evil.
Ani erawh chuan, Hmeichhia, ani chu ka hre lo ve, tiin a pha a.	But he said, Woman, it is not true; I have no knowledge of him.
Nimahsela ani chu thlalerahte a kal hrang a, a tawngtai thin a.	But he went away by himself to a waste place for prayer.
Keini erawh chu duh lohvin kan awm lo tih in la hriain ka ring.	But it is my hope that you will have no doubt that we are truly Christ's.
Nimahsela Iskariot Juda, a zirtir pakhat, a mantirtu tur chuan,	But one of his disciples, Judas Iscariot (who was to give him up, said,
Tin, Ai khaw lal chu anungin an man a, Josua hnenah an hruai a.	But the king of Ai they made prisoner, and took him to Joshua.
A thiamnain tuifinriatte a sah a, Chhumte chuan dai a fartir a.	By his knowledge the deep was parted, and dew came dropping from the skies.
Lo kal ula, ka chhâng ei ula, ka uain chawhpawlh chu in rawh u.	Come, take of my bread, and of my wine which is mixed.
Chhûmin i in khuh a, chutichuan țawngțaina a kal tlâng thei lo.	Covering yourself with a cloud, so that prayer may not get through.
Rûk tui chu a thlum a, A rûka chhâng ei chu a tui a ni, a ti a.	Drink taken without right is sweet, and food in secret is pleasing.
Pathianhmaa rorêlnaa kal tûrin Mihring tan hun bi a ruat si lo.	For he does not give man a fixed time to come before him to be judged.
Thuthlung hmasa chu sawisel bo ni se, thlun nawn a ngai lo tur.	For if that first agreement had been as good as possible, there would have been no place for a second.
chuta tang chuan ei tûr a bihthla a, A mit chuan hla tak a hmu.	From there he is watching for food; his eye sees it far off.
Mawi famkimna, Zion atang chuan, Pathian chu a eng chhuak ta a.	From Zion, most beautiful of places, God has sent out his light.
Thlamuan rawh u, ka mite hi thlamuan rawh u, in Pathianin a ti.	Give comfort, give comfort, to my people, says your God.
Tarsis-ah va kai ula; thliarkara awmte u, chiau vâk vâk rawh u.	Go over to Tarshish; give cries of sorrow, O men of the sea-land.
Ni chhuah hma chuan a hring a, A chawrte chuan ahuan a hliap a,	He is full of strength before the sun, and his branches go out over his garden.
Kawlphein akutte chua khuh a, A tum tak fuh tûrin a tir thin a.	He takes the light in his hands, sending it against the mark.
I thu-ah hian ka hlim a ni. Thil ropui tak râllâka hmutu angin.	I am delighted by your saying, like a man who makes discovery of great wealth.
Engkim i ti thei tih ka hria e, I tum dal rual engmah a awm lo.	I see that you are able to do every thing, and to give effect to all your designs.
An ka chuan dawt a sawi a, Chhechham chung pawhin dawt an sawi.	In whose mouths are false words, and whose right hand is a right hand of deceit.
Chuta lungte chu saphir hmun a ni a, Rangkachak nawite a awm a.	Its stones are the place of sapphires, and it has dust of gold.
Ka fel chu lal lawmna a nai a, Thu dik sawi chu an ngaina thin.	Lips of righteousness are the delight of kings; and he who says what is upright is dear to him.
Miin a riltam tihreh nana ruk a ruk chuan an hmusit thin lo va;	Men do not have a low opinion of a thief who takes food when he is in need of it:
Ngilneihna leh thutak an intawk a; Felna leh remna an infawp a.	Mercy and faith have come together; righteousness and peace have given one another a kiss.
Ka khumah awngphah mawi tak ka phah a, Aigupta ram lazaia tial.	My bed is covered with cushions of needlework, with coloured cloths of the cotton thread of Egypt;
Ka vun chu a lo dum a, a khawk a, Ka ruhte chu a lum vut vut a.	My skin is black and dropping off me; and my bones are burning with the heat of my disease.
mahni ta ta mai en lovin, mi dang ta pawh en theuh zawk rawh u.	Not looking everyone to his private good, but keeping in mind the things of others.
Tin, Aigupta ramah chuan Josefa hre lo, lal thar a lo awm ta a.	Now a new king came to power in Egypt, who had no knowledge of Joseph.
Sipaiten an man rallak sum tiam lovin an lak chu beram 6,75,000	Now the beasts taken, in addition to what the fighting-men took for themselves, were six hundred and seventy-five thousand sheep,
Mosia chu lei chunga mihring zawng zanga zaidam lawrlak a ni a.	Now the man Moses was more gentle than any other man on earth.
Kan dote lakah leh min hawtute zawng zawng laka chhandamna chu;	Salvation from those who are against us, and from the hands of those who have hate for us;
Ngai teh, LALPA tih mi chu Chutiang chuan malsawmin an awm ang.	See! this is the blessing of the worshipper of the Lord.
Ngai teh, Israel-ho vengtu chu A muthluin, a muhil hek lo vang.	See, the eyes of Israel's keeper will not be shut in sleep.
Manganna a lo thleng ang a, muanna an zawng a a awm miah si lo.	Shaking fear is coming; and they will be looking for peace, and there will be no peace.
Tichuan, he thu hi a remtihsak a, anni chu ni sâwm a fiah ta a.	So he gave ear to them in this thing and put them to the test for ten days.
Arona leh a fapa Eleazara chu Hor tlângah rawn hruai chho rawh:	So take Aaron and Eleazar, his son, up into Mount Hor;
anni chu tuia sila thu chuan tifaiin a tihthianghlim theih nan;	So that he might make it holy, having made it clean with the washing of water by the word,
Pathian chungah thaw i sâng a, I kaa chutiang thu a chhuah kha.	So that you are turning your spirit against God, and letting such words go out of your mouth?
hmana thu an zirtir che kha dik tak a ni tih i hriat theih nan.	So that you might have certain knowledge of those things about which you were given teaching.
Chuti kauva nasa chuan Lalpa thu chu a darh a, a hneh ta zel a.	So the word of the Lord was increased very greatly and was full of power.
Chutichuan amah avangin mipui chu an inthen a, an inkhing ta a.	So there was a division among the people because of him.
Nimahsela, nangmahni avangin tisaa awm reng hi a tul zawk a ni.	Still, to go on in the flesh is more necessary because of you.
Kan hmêlmate zawng zawng chuan kan chungah an ka an ang zau va.	The mouths of all our haters are open wide against us.
Thlipui nasa tak a tleh avangin tui a fawn sang telh telh si a.	The sea was getting rough because of a strong wind which was blowing.
Thi tawhte an khur a, Tuite leh a chhûnga chengte hnuaiah chuan	The shades in the underworld are shaking; the waters and those living in them.
kanghlai te, dil sava chi reng reng te, chhuangtuar leh bak te.	The stork and the heron, and birds of that sort, and the hoopoe and the bat.
LALPA chuan Samuela a ko va; ani chuan, Heta hi ka awm, a ti a.	The voice of the Lord said Samuel's name; and he said, Here am I.
Mi suaksualte kawng chu a thi8m a, Eng nge an chhuih an hre lo.	The way of sinners is dark; they see not the cause of their fall.
Tichuan lal leh mipuite chuan LALPA hmaa inthawinate an hlân a.	Then the king and all the people made offerings before the Lord.
Hre thiamte tan a fiah vek a, Finna hmutute tan a dik vek a ni.	They are all true to him whose mind is awake, and straightforward to those who get knowledge.
Zan chu chhunah a chantir a; Eng chuan thim a hnaih e, an ti a.	They are changing night into day; they say, The light is near the dark.
Mihring zing ata hnawh bovin an awm a, Rukru angin an au zui a.	They are sent out from among their townsmen, men are crying after them as thieves
A ni, ramhuai hnênahte chan an fapate an fanutein an inthawi a,	They even made offerings of their sons and their daughters to evil spirits,
An kal liam a, lawng chak tak angin, Muipui tum nei bir angin.,	They go rushing on like reed-boats, like an eagle dropping suddenly on its food.
An sakawr chu 736 a ni a; an sabengtung lian chi chu 245 ani a;	They had seven hundred and thirty-six horses, two hundred and forty-five transport beasts;
Silhfen lovin zankhuain an mu a, Khaw vatah inkhuhna an nei lo.	They take their rest at night without clothing, and have no cover in the cold.
Suahsualna hi a kaah thlum mah se, A lei hnuaiah thukru mah se,	Though evil-doing is sweet in his mouth, and he keeps it secretly under his tongue;
Min tanpui tûrin tho la, I ngilneihna avângin min tlan ang che.	Up! and come to our help, and give us salvation because of your mercy.
A vun khatin thir hling te, A luah nghafeite i riah thei êm ni?	Will you put sharp-pointed irons into his skin, or fish-spears into his head?
I kaa i rorêl chhuak zawng zawngte chu Ka hmuiin ka hriattr ta.	With my lips have I made clear all the decisions of your mouth.
Tin, in kawngka biangah te, in kawngkharah te in ziak tur a ni;	Writing them on the pillars of your houses and over the doors of your towns:
Ka rin dan hi a dik a, I mithmuhah ka thiang a sin,' i ti si a.	You may say, My way is clean, and I am free from sin in your eyes.
Nangni ni tha lo hla taka dah leh nunrâwng thutna hnaihtîrte u,	You who put far away the evil day, causing the rule of the violent to come near;
Fapa â chu a pa tilungngaitu a ni a, A hringtunu tan a kha a ni.	A foolish son is a grief to his father, and bitter pain to her who gave him birth.
Tah hun a awm a, nuih hun a awm; Sun hun a awm a, lam hun a awm.	A time for weeping and a time for laughing; a time for sorrow and a time for dancing;
A awm tak thu sawi hi Tangkaraw bâwma rangkachak apple ang a ni.	A word at the right time is like apples of gold in a network of silver.
A dai zawng zawng chu i titlu a; A kulhbingte chu i tichhe ta a.	All his walls are broken down; you have given his strong towers to destruction.
Tin, Abrama chu a bawkkhup ta a: tin, Pathianin ani chu a bia a,	And Abram went down on his face on the earth, and the Lord God went on talking with him, and said,
Tin, Daniela chuan lal Kura kumkhatna thlengin a thawk ta zêl a.	And Daniel went on till the first year of King Cyrus.
Tin, Gadan LALPA hminga a sawi ang chuan Davida chu a chho ta a.	And David went up, as Gad had said in the name of the Lord.
tin, Matana ațangin Nahaliel-ah; Nahaliel ațang chuan bamoth-ah:	And from Mattanah to Nahaliel: and from Nahaliel to Bamoth:
Tin, Hathaka chuan Mordekaia thuchahte chu Estheri a va hrilh a.	And Hathach came back and gave Esther an account of what Mordecai had said.
Tichuan, Isua a tho va, a zui ta a, zirtirte pawhin an zui ve a.	And Jesus got up and went after him, and so did his disciples.
Chung thute leh an au thawkm chu ka hriatin ka thinur hle mai a.	And on hearing their outcry and what they said I was very angry.
sava sang te, vabak te, tuifinriat sava te, mu chi reng reng te;	And the ostrich and the night-hawk and the sea-hawk, and birds of that sort;
Tin, Gada fapate chu an ep Basan raman Saleka thlengin an awm a:	And the sons of Gad were living opposite to them, in the land of Bashan as far as Salecah:
Tin, heng hi Suthela thlahte an ni. Erana thlahte Eran-ho an ni.	And these are the sons of Shuthelah: of Eran, the family of the Eranites:
Isua chu ngamthlema man a, an tihhlum theihna turin an inrawn a.	And they made designs together to take Jesus by some trick, and put him to death.
tin, an phuar a, an hruai a, Ram Awptu Pilata hnenah an pe ta a.	And they put cords on him and took him away, and gave him up to Pilate, the ruler.
Tin, anni chuan, Chhang kan keng hauh lo, tiin an inngaihtuah a.	And they were reasoning among themselves, saying, We took no bread.
Tin, Pathian lamah chutiang rinna chu Krista zara kan neih a ni;	And this is the certain faith which we have in God through Christ:
a chuangho tlanna sum chu Arona leh a fapate i pe tur ani, tiin.	And this money, the price of those over the number of the Levites, is to be given to Aaron and his sons.
A laka intibawlhhlawh turin i vengpa nupui i mutpui tur a ni lo.	And you may not have sex relations with your neighbour's wife, making yourself unclean with her.
